cont_id,associated_id,type
"1404064_None",1404064,Player
"1404064_None",1404064,Player
"1404064_None",1404064,Player
"1404064_None",1404064,Player
"1404064_None",1404064,Player
"1404064_None",1404064,Player
"2033440_None",2033440,Player
"2033440_None",2033440,Player
"1525540_None",1525540,Player
"1525540_None",1525540,Player
"1525540_None",1525540,Player
"1140850_None",1140850,Player
"1140850_None",1140850,Player
"1140850_None",1140850,Player
"1140850_None",1140850,Player
"1140850_None",1140850,Player
"1140850_None",1140850,Player
"1140850_None",1140850,Player
"1140850_None",1140850,Player
"2033781_None",2033781,Player
"2313076_None",2313076,Player
"2313076_None",2313076,Player
"2313076_None",2313076,Player
"2313076_None",2313076,Player
"2313076_None",2313076,Player
"2313076_None",2313076,Player
"2313076_None",2313076,Player
"2313076_None",2313076,Player
"939864_None",939864,Player
"939864_None",939864,Player
"939864_None",939864,Player
"939864_None",939864,Player
"939864_None",939864,Player
"939864_None",939864,Player
"939864_None",939864,Player
"939864_None",939864,Player
"939864_None",939864,Player
"939864_None",939864,Player
"919761_None",919761,Player
"919761_None",919761,Player
"1461306_None",1461306,Player
"1461306_None",1461306,Player
"1461306_None",1461306,Player
"1461306_None",1461306,Player
"1461306_None",1461306,Player
"1461306_None",1461306,Player
"884821_None",884821,Player
"884821_None",884821,Player
"884821_None",884821,Player
"884821_None",884821,Player
"884821_None",884821,Player
"884821_None",884821,Player
"884821_None",884821,Player
"884821_None",884821,Player
"1919308_None",1919308,Player
"1919308_None",1919308,Player
"1919308_None",1919308,Player
"1919308_None",1919308,Player
"1919308_None",1919308,Player
"1919284_None",1919284,Player
"1919284_None",1919284,Player
"1919284_None",1919284,Player
"1919284_None",1919284,Player
"1919284_None",1919284,Player
"1919284_None",1919284,Player
"1919284_None",1919284,Player
"1919284_None",1919284,Player
"1919284_None",1919284,Player
"1632047_None",1632047,Player
"1632047_None",1632047,Player
"1632047_None",1632047,Player
"919951_None",919951,Player
"919951_None",919951,Player
"919951_None",919951,Player
"919951_None",919951,Player
"919951_None",919951,Player
"919951_None",919951,Player
"1020148_None",1020148,Player
"1020148_None",1020148,Player
"1020148_None",1020148,Player
"1919295_None",1919295,Player
"1919295_None",1919295,Player
"1103646_None",1103646,Player
"1103646_None",1103646,Player
"919690_None",919690,Player
"919690_None",919690,Player
"919690_None",919690,Player
"919690_None",919690,Player
"919690_None",919690,Player
"359282_None",359282,Player
"359282_None",359282,Player
"359282_None",359282,Player
"359282_None",359282,Player
"1009758_None",1009758,Player
"1009758_None",1009758,Player
"1009758_None",1009758,Player
"1009758_None",1009758,Player
"1433799_None",1433799,Player
"1433799_None",1433799,Player
"1433799_None",1433799,Player
"1433799_None",1433799,Player
"1919278_None",1919278,Player
"1919278_None",1919278,Player
"1919278_None",1919278,Player
"1919278_None",1919278,Player
"1404064_None",1404064,Player
"1404064_None",1404064,Player
"1404064_None",1404064,Player
"1404064_None",1404064,Player
"1404064_None",1404064,Player
"1404064_None",1404064,Player
"2033440_None",2033440,Player
"2033440_None",2033440,Player
"1525540_None",1525540,Player
"1525540_None",1525540,Player
"1525540_None",1525540,Player
"1140850_None",1140850,Player
"1140850_None",1140850,Player
"1140850_None",1140850,Player
"1140850_None",1140850,Player
"1140850_None",1140850,Player
"1140850_None",1140850,Player
"1140850_None",1140850,Player
"1140850_None",1140850,Player
"2033781_None",2033781,Player
"2313076_None",2313076,Player
"2313076_None",2313076,Player
"2313076_None",2313076,Player
"2313076_None",2313076,Player
"2313076_None",2313076,Player
"2313076_None",2313076,Player
"2313076_None",2313076,Player
"2313076_None",2313076,Player
"939864_None",939864,Player
"939864_None",939864,Player
"939864_None",939864,Player
"939864_None",939864,Player
"939864_None",939864,Player
"939864_None",939864,Player
"939864_None",939864,Player
"939864_None",939864,Player
"939864_None",939864,Player
"939864_None",939864,Player
"919761_None",919761,Player
"919761_None",919761,Player
"919469_None",919469,Player
"919469_None",919469,Player
"919469_None",919469,Player
"919469_None",919469,Player
"919469_None",919469,Player
"919469_None",919469,Player
"919469_None",919469,Player
"1954173_None",1954173,Player
"1140833_None",1140833,Player
"1140833_None",1140833,Player
"1140833_None",1140833,Player
"1140833_None",1140833,Player
"2203635_None",2203635,Player
"2203635_None",2203635,Player
"2203635_None",2203635,Player
"1102957_None",1102957,Player
"1102957_None",1102957,Player
"1102957_None",1102957,Player
"1155596_None",1155596,Player
"1182584_None",1182584,Player
"1182584_None",1182584,Player
"845274_None",845274,Player
"845274_None",845274,Player
"845274_None",845274,Player
"845274_None",845274,Player
"845274_None",845274,Player
"845274_None",845274,Player
"845274_None",845274,Player
"845274_None",845274,Player
"845274_None",845274,Player
"845274_None",845274,Player
"845274_None",845274,Player
"845274_None",845274,Player
"845274_None",845274,Player
"845274_None",845274,Player
"1170317_None",1170317,Player
"1170317_None",1170317,Player
"1170317_None",1170317,Player
"1170317_None",1170317,Player
"978956_None",978956,Player
"366156_None",366156,Player
"366156_None",366156,Player
"366156_None",366156,Player
"366156_None",366156,Player
"366156_None",366156,Player
"366156_None",366156,Player
"366156_None",366156,Player
"366156_None",366156,Player
"366156_None",366156,Player
"366156_None",366156,Player
"366156_None",366156,Player
"366156_None",366156,Player
"366156_None",366156,Player
"366156_None",366156,Player
"366156_None",366156,Player
"366156_None",366156,Player
"366156_None",366156,Player
"366156_None",366156,Player
"1114480_None",1114480,Player
"297510_None",297510,Player
"297510_None",297510,Player
"297510_None",297510,Player
"297510_None",297510,Player
"297510_None",297510,Player
"297510_None",297510,Player
"297510_None",297510,Player
"297510_None",297510,Player
"297510_None",297510,Player
"297510_None",297510,Player
"297510_None",297510,Player
"919532_None",919532,Player
"919532_None",919532,Player
"919532_None",919532,Player
"919532_None",919532,Player
"919532_None",919532,Player
"919532_None",919532,Player
"919532_None",919532,Player
"919532_None",919532,Player
"919532_None",919532,Player
"919532_None",919532,Player
"1166995_None",1166995,Player
"1166995_None",1166995,Player
"1166995_None",1166995,Player
"1166995_None",1166995,Player
"919671_None",919671,Player
"919671_None",919671,Player
"919671_None",919671,Player
