id,season,matches_played,goals,assists,yellow_cards,red_cards,clean_sheets,win_rate,possession,passing_accuracy,shots_per_game,rating
"1008599_937_54108","Botola Pro 23/24",,0,0,2,0,,,,84.25,,6.5833333333333
"826571_937_78750","Botola Pro 25/26",,0,0,0,0,,,,0,,6.7
"826571_937_65433","Botola Pro 24/25",,0,1,2,0,,,,79.05,,6.5764705882353
"826571_937_54108","Botola Pro 23/24",,0,0,1,0,,,,82.67,,6.528
"1004523_937_78750","Botola Pro 25/26",,0,0,1,0,,,,73.24,,6.6
"1004523_937_54108","Botola Pro 23/24",,1,0,5,0,,,,76.83,,6.8333333333333
"1004523_247_61477","Parva Liga 24/25",,1,2,5,0,,,,56.04,,6.6642857142857
"316583_937_78750","Botola Pro 25/26",,0,0,1,0,,,,83.89,,7.1875
"316583_825_63717","Stars League 24/25",,0,0,6,0,,,0,78.327832783278,,6.8285714285714
"316583_1518_65965","Stars Cup 2024",,1,,0,0,,,,,,
"1619134_937_78750","Botola Pro 25/26",,1,0,1,1,,,,81.34,,6.9166666666667
"1619134_937_65433","Botola Pro 24/25",,0,0,2,1,,,,82.26,,7.0368421052632
"1619134_937_54108","Botola Pro 23/24",,0,0,3,0,,,,83.28,,7.25
"1103558_937_78750","Botola Pro 25/26",,0,2,2,0,,,,77.2,,7.0375
"1103558_937_65433","Botola Pro 24/25",,1,1,5,0,,,,72.68,,6.7888888888889
"919474_937_78750","Botola Pro 25/26",,0,0,0,0,,,,91.49,,6.55
"919474_937_65433","Botola Pro 24/25",,1,0,6,0,,,,87.14,,6.8833333333333
"919474_937_54108","Botola Pro 23/24",,1,0,6,1,,,,88.59,,6.8588235294118
"1004426_937_78750","Botola Pro 25/26",,0,0,0,0,,,,88.79,,7.2333333333333
"1004426_937_65433","Botola Pro 24/25",,0,0,4,1,,,,83.36,,6.7294117647059
"1011278_937_65433","Botola Pro 24/25",,0,2,3,1,,,,72.4,,6.5434782608696
"1140820_937_78750","Botola Pro 25/26",,0,0,1,0,,,,83.89,,7.275
"1140820_937_65433","Botola Pro 24/25",,0,0,5,0,,,,80.79,,7.2185185185185
"1140820_937_54108","Botola Pro 23/24",,0,0,4,0,,,,85.31,,7.0666666666667
"1845576_937_65433","Botola Pro 24/25",,0,0,0,0,,,,,,
"2150417_937_78750","Botola Pro 25/26",,1,1,2,0,,,,79.63,,6.4875
"2150417_937_65433","Botola Pro 24/25",,0,0,0,0,,,,0,,6.4
"1936634_937_65433","Botola Pro 24/25",,0,0,0,0,,,,,,
"1008621_937_78750","Botola Pro 25/26",,1,0,2,0,,,,72.86,,6.7
"1008621_937_54108","Botola Pro 23/24",,13,0,2,0,,,,68.09,,7.3178571428571
"1008621_23987_68177","Gulf Club Champions League 24/25",,3,,2,0,,,,,,
"1016143_937_78750","Botola Pro 25/26",,0,0,0,0,,,,0,,6.5
"1016143_937_54108","Botola Pro 23/24",,0,0,0,0,,,,100,,6.3333333333333
"1016143_295_53820","World Cup Qual. CONMEBOL 2026",,1,0,0,0,,,1,74.074074074074,,6.76
"1186787_937_78750","Botola Pro 25/26",,1,0,1,0,,,,81.82,,6.675
"1186787_937_65433","Botola Pro 24/25",,2,1,3,0,,,,75.12,,6.8928571428571
"1186787_937_54108","Botola Pro 23/24",,9,0,7,1,,,,63.84,,7.1538461538462
"796155_937_78750","Botola Pro 25/26",,0,0,1,0,,,,80.98,,6.9857142857143
"796155_937_65433","Botola Pro 24/25",,0,3,2,0,,,,81.36,,6.9074074074074
"796155_937_54108","Botola Pro 23/24",,2,4,4,0,,,,82.99,,7.2888888888889
"1102955_937_78750","Botola Pro 25/26",,0,0,0,0,,,,0,,6.8
"1102955_937_65433","Botola Pro 24/25",,1,3,2,0,,,,80.11,,6.655
