id,total_matches,total_goals,total_assists,total_yellow,total_second_yellow,total_red,goals_conceded,clean_sheets,win_rate,possession,passing_accuracy,shots_per_game,rating
"846673_Total",74,0,0,12,0,3,70,27,None,None,None,None,None
"660039_Total",83,0,0,12,1,1,0,0,None,None,None,None,None
"1064714_Total",9,2,0,1,0,0,0,0,None,None,None,None,None
"1204741_Total",21,0,2,0,0,0,0,0,None,None,None,None,None
"77385_Total",388,93,47,37,0,2,0,0,None,None,None,None,None
"1183709_Total",62,5,0,2,1,0,0,0,None,None,None,None,None
"240714_Total",130,6,8,4,0,0,0,0,None,None,None,None,None
"461581_Total",47,0,0,4,0,0,82,10,None,None,None,None,None
"701611_Total",110,14,13,21,0,0,0,0,None,None,None,None,None
"823072_Total",62,0,1,11,0,1,0,0,None,None,None,None,None
"972603_Total",76,1,2,6,1,1,0,0,None,None,None,None,None
"1307015_Total",5,1,1,0,0,0,0,0,None,None,None,None,None
"1416877_Total",6,0,0,0,0,0,0,0,None,None,None,None,None
"1033957_Total",70,6,5,10,0,0,0,0,None,None,None,None,None
"1370977_Total",3,0,1,1,0,0,0,0,None,None,None,None,None
"1133028_Total",9,0,1,1,0,0,0,0,None,None,None,None,None
"902834_Total",1,0,0,0,0,0,0,0,None,None,None,None,None
"1262531_Total",13,5,0,1,0,0,0,0,None,None,None,None,None
"1204104_Total",23,0,0,4,0,0,0,0,None,None,None,None,None
"1267056_Total",61,6,0,5,1,2,0,0,None,None,None,None,None
"530999_Total",90,0,0,1,0,0,123,16,None,None,None,None,None
"231941_Total",366,106,31,60,0,4,0,0,None,None,None,None,None
"1230677_Total",13,0,1,1,0,0,0,0,None,None,None,None,None
"867271_Total",12,0,0,0,0,0,17,3,None,None,None,None,None
"840926_Total",15,1,2,2,0,0,0,0,None,None,None,None,None
"1043567_Total",16,1,0,1,0,0,0,0,None,None,None,None,None
"588635_Total",47,0,0,11,2,1,0,0,None,None,None,None,None
"720443_Total",116,16,9,12,0,0,0,0,None,None,None,None,None
"1440454_Total",10,0,1,1,0,0,0,0,None,None,None,None,None
"841119_Total",66,4,1,7,0,1,0,0,None,None,None,None,None
"990144_Total",40,2,1,6,0,1,0,0,None,None,None,None,None
"1188206_Total",40,1,0,13,0,0,0,0,None,None,None,None,None
"1258577_Total",12,0,1,0,0,0,0,0,None,None,None,None,None
"717223_Total",77,0,0,9,0,0,0,0,None,None,None,None,None
"902813_Total",4,0,0,0,0,0,0,0,None,None,None,None,None
"1269733_Total",10,1,1,3,0,1,0,0,None,None,None,None,None
"951671_Total",6,0,0,0,0,0,0,0,None,None,None,None,None
"691877_Total",26,0,1,0,0,0,0,0,None,None,None,None,None
"841118_Total",113,2,4,14,1,0,0,0,None,None,None,None,None
"841736_Total",136,21,16,15,2,0,0,0,None,None,None,None,None
"1203849_Total",6,0,0,0,0,0,0,0,None,None,None,None,None
"1459207_Total",4,0,0,1,0,0,0,0,None,None,None,None,None
