id,name,age,nationality,height,preferred_foot,preferred_positions,market_value,current_club_id
1172375,Brahim El Idrissi Bouzidi,25,Morocco,181,right,Defensive Midfield,€325k,14462
1307857,Ayoub Ait Wahmane,24,Morocco,0,,Goalkeeper,€10k,14462
1273576,Abdellah Ziani,22,Morocco,167,right,Left Winger,€175k,14462
1076078,Yassine Fatine,29,Morocco,183,both,Centre-Back,€275k,14462
1302320,Abdoulaye Sanogo,21,Mali,187,right,Centre-Back,€25k,14462
902827,Soufiane Abaaziz,27,Morocco,179,left,Left-Back,€200k,14462
840930,Imad Sabik,28,Morocco,0,,Right Winger,€50k,14462
882909,Mohamed Bentarcha,27,Morocco,187,right,Centre-Back,€175k,14462
1002677,Mouad Mouchtanim,26,Morocco,0,left,Central Midfield,€25k,14462
1004272,Yassine Lamine,26,Morocco,0,,Left Winger,€225k,14462
1307908,Houdaifa Jamaäne,19,Morocco,0,,Central Midfield,€10k,14462
321629,Moctar El Hacen,27,Mauritania,181,right,Defensive Midfield,€300k,14462
539612,Siriky Sanogo,24,Cote d'Ivoire,178,left,Central Midfield,€125k,12721
496570,Badr Gaddarine,28,Morocco,178,left,Left-Back,€450k,12721
