tm_id,tm_name,sofascore_id,sofascore_name,match_score
238997,Ahmed Reda Tagnaouti,359280.0,Ahmed Reda Tagnaouti,1.0
660041,Youssef El Fahli,978955.0,Youssef El Fahli,1.0
711281,Abdelfettah Hadraf,1008872.0,Abdelfettah Hadraf,1.0
518802,Anas Bach,919477.0,Anas Bach,1.0
689431,Reda Slim,1004433.0,Reda Slim,1.0
631508,Khalid Aït Ouarkhane,1476706.0,Khalid Ait Ouarkhane,1.0
742502,Achref Habbassi,1094481.0,Achref Habbassi,1.0
872090,Mouhcine Bouriga,1474715.0,Mohssine Bourika,0.81
518801,Marouane Louadni,1518450.0,Marouane Louadni,1.0
635927,Fallou Mendy,2046059.0,Fallou Formose Mendy,0.75
904465,Taoufik Razko,1416474.0,Taoufik Razko,1.0
734155,Jamal Ech-Chamakh,1008347.0,Jamal Ech-Chammakh,0.97
1299944,Destin Maniriho,1407116.0,Destin Maniriho,1.0
1055358,Soulaimane El Bouchqali,1402635.0,Soulaimane El Bouchqali,1.0
366744,Lamine Diakité,919485.0,Lamine Diakité,1.0
799742,Salaheddine Benyachou,1140934.0,Salaheddine Benyachou,1.0
816064,Mouad Bahsain,1140857.0,Mouad Bahsain,1.0
1134249,Taha Benrhozil,1597135.0,Taha Benrhozil,1.0
738951,Amine Souane,1020959.0,Amine Souane,1.0
556272,Ayoub Lakred,919749.0,Ayoub Lakred,1.0
844795,Ali El Harrak,1471574.0,Ali El Harrak,1.0
737182,Oussama Soukhane,1015235.0,Oussama Soukhane,1.0
593405,Ismail Moutaraji,1140870.0,Ismail Moutaraji,1.0
1232068,Soufiane Tazi,1655612.0,Soufiane Et Tazi,0.9
627926,Hodifa El Mahssani,970834.0,Houdaifa El Mahasni,0.86
1055193,Yassine Amhih,1461307.0,Yassine Amhih,1.0
1039603,Mohamed El Badoui,1416350.0,Mohamed El Badoui,1.0
834876,Amine Farhane,1112763.0,Amine Farhane,1.0
1150961,Anas El Makkaoui,1855780.0,Anas El Makkaoui,1.0
507134,Amine El Msane,919942.0,Amine El Msane,1.0
1203514,Arthur Gitego,1605031.0,Arthur Gitego,1.0
838828,Moncef Amri,1140958.0,Moncef Amri,1.0
844300,Ayoub Mouloua,1095725.0,Ayoub Mouloua,1.0
920971,Chouaib Faidi,1140933.0,Chouaib Faidi,1.0
717213,Anas Serrhat,1004248.0,Anas Serrhat,1.0
667994,Oussama Raoui,1021152.0,Oussama Raoui,1.0
981522,Rachid Ghanimi,1212072.0,Rachid Ghanimi,1.0
811084,Abdessamad Mahir,1022302.0,Abdessamad Mahir,1.0
508643,Soulyman Allouch,961690.0,Soulaïman Allouch,0.91
913361,Soufiane Benjdida,1168800.0,Soufiane Benjdida,1.0
262953,Adil Rhaili,316583.0,Adil Rhaili,1.0
290768,Kevin Yamga,812947.0,Kevin Yamga,1.0
339552,Kabelo Seakanyeng,944009.0,Kabelo Seakanyeng,1.0
1091104,Nizar Guessous,1461681.0,Nizar Guessous,1.0
1341102,Walid Laghrissi,1997651.0,Walid Lghrissi,0.97
682847,Benjamin Tanimu,1482836.0,Benjamin Tanimu,1.0
308265,Anas Tahiri,544156.0,Anas Tahiri,1.0
1176891,Youssef Dalouzi,1528418.0,Youssef Dalouzi,1.0
1317548,Akram Khlifi,1936634.0,Akram Khalifi,0.96
1176890,Oussama Noureddine,,,0.71
721818,Reda Mhannaoui,1011278.0,Reda Mhannaoui,1.0
863795,Marouane Ouhrou,1103558.0,Marouane Ouhrou,1.0
858584,Hamza Afsal,1140855.0,Hamza Afsal,1.0
712126,Aymane Chbani,1004426.0,Ayman Chabani,0.92
689435,Abdelilah Madkour,1008599.0,Abdelilah Madkour,1.0
1174262,Driss El Jabli,1619134.0,Driss El-Jabli,0.93
1115476,Zakaria Allaoui,2121452.0,Zakaria Allaoui,1.0
367149,Achraf Harmach,919329.0,Achraf Harmach,1.0
1344495,Privat Djéssan Bi,,,0.67
1235905,Oussama Errahmany,1845576.0,Oussama Errahmany,1.0
255642,Saad Ait Khorsa,919474.0,Saad Ait Khorsa,1.0
692591,Hamza Ait Allal,1004523.0,Hamza Ait Allal,1.0
1370739,Adam Brika,2150417.0,Adam   Brika,0.91
306668,Amine Oudrhiri,374560.0,Amine Oudrhiri,1.0
1091105,Mohamed Loumim,1461320.0,Mohamed Loumim,1.0
356586,Salaheddine Chihab,1140820.0,Salaheddine Chihab,1.0
1139810,Issa M'Bareck,1613042.0,Issa M'bareck,1.0
1266261,Mouad Hmamouchi,1500985.0,Mouad Hmamouchi,1.0
842564,El Habib Brija,1140935.0,El Habib Brija,1.0
